GEO,SEX,AGE,TIME,ISCED11,Percent
Netherlands,Females,15-64,2018,G1,12.6
Netherlands,Females,15-64,2018,G2,11.1
Netherlands,Females,15-64,2018,G3,6.7
Austria,Males,15-64,2018,G1,9.3
Austria,Males,15-64,2018,G2,5.8
Austria,Males,15-64,2018,G3,4.0
Austria,Females,15-64,2018,G1,14.8
Austria,Females,15-64,2018,G2,7.9
Austria,Females,15-64,2018,G3,5.1
Poland,Males,15-64,2018,G1,3.4
Poland,Males,15-64,2018,G2,2.9
Poland,Males,15-64,2018,G3,2.4
Poland,Females,15-64,2018,G1,3.8
Poland,Females,15-64,2018,G2,4.9
Poland,Females,15-64,2018,G3,3.2
Portugal,Males,15-64,2018,G1,7.4
Portugal,Males,15-64,2018,G2,6.3
Portugal,Males,15-64,2018,G3,4.4
Portugal,Females,15-64,2018,G1,17.2
Portugal,Females,15-64,2018,G2,10.3
Portugal,Females,15-64,2018,G3,7.5
Romania,Males,15-64,2018,G1,0.7
Romania,Males,15-64,2018,G2,0.7
Romania,Males,15-64,2018,G3,0.1
Romania,Females,15-64,2018,G1,1.1
Romania,Females,15-64,2018,G2,1.0
Romania,Females,15-64,2018,G3,0.4
Slovenia,Males,15-64,2018,G1,7.2
Slovenia,Males,15-64,2018,G2,5.9
Slovenia,Males,15-64,2018,G3,5.2
Slovenia,Females,15-64,2018,G1,13.4
Slovenia,Females,15-64,2018,G2,11.5
Slovenia,Females,15-64,2018,G3,8.0
Slovakia,Males,15-64,2018,G1,6.0
Slovakia,Males,15-64,2018,G2,2.6
Slovakia,Males,15-64,2018,G3,2.7
Slovakia,Females,15-64,2018,G1,12.2
Slovakia,Females,15-64,2018,G2,4.8
Slovakia,Females,15-64,2018,G3,1.5
Finland,Males,15-64,2018,G1,8.4
Finland,Males,15-64,2018,G2,10.6
Finland,Males,15-64,2018,G3,4.6
Finland,Females,15-64,2018,G1,15.2
Finland,Females,15-64,2018,G2,12.7
Finland,Females,15-64,2018,G3,9.6
Sweden,Males,15-64,2018,G1,16.6
Sweden,Males,15-64,2018,G2,11.8
Sweden,Males,15-64,2018,G3,10.0
Sweden,Females,15-64,2018,G1,16.7
Sweden,Females,15-64,2018,G2,16.6
Sweden,Females,15-64,2018,G3,14.0
Iceland,Males,15-64,2018,G1,18.9
Iceland,Males,15-64,2018,G2,14.6
Iceland,Males,15-64,2018,G3,10.2
Iceland,Females,15-64,2018,G1,28.3
Iceland,Females,15-64,2018,G2,18.5
Iceland,Females,15-64,2018,G3,12.1
Norway,Males,15-64,2018,G1,12.9
Norway,Males,15-64,2018,G2,6.3
Norway,Males,15-64,2018,G3,3.8
Norway,Females,15-64,2018,G1,17.7
Norway,Females,15-64,2018,G2,9.0
Norway,Females,15-64,2018,G3,7.3
United Kingdom,Males,15-64,2018,G1,-1
United Kingdom,Males,15-64,2018,G2,-1
United Kingdom,Males,15-64,2018,G3,-1
United Kingdom,Females,15-64,2018,G1,-1
United Kingdom,Females,15-64,2018,G2,-1
United Kingdom,Females,15-64,2018,G3,-1
Serbia,Males,15-64,2018,G1,4.8
Serbia,Males,15-64,2018,G2,2.3
Serbia,Males,15-64,2018,G3,1.2
Serbia,Females,15-64,2018,G1,7.1
Serbia,Females,15-64,2018,G2,3.7
Serbia,Females,15-64,2018,G3,1.8
Turkey,Males,15-64,2018,G1,6.1
Turkey,Males,15-64,2018,G2,5.1
Turkey,Males,15-64,2018,G3,5.3
Turkey,Females,15-64,2018,G1,13.7
Turkey,Females,15-64,2018,G2,9.8
Turkey,Females,15-64,2018,G3,8.8
